"filename", "language", "JSON", "PostCSS", "Markdown", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\Ticket.js", "JavaScript", 0, 0, 0, 251, 0, 0, 9, 25, 285
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\TicketsButton.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\TicketsListModal.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 5, 75
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Components\navbar.js", "JavaScript", 0, 0, 0, 60, 0, 0, 1, 7, 68
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\AgregarCategoria.module.css", "PostCSS", 0, 52, 0, 0, 0, 0, 0, 8, 60
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\BarraBusqueda.module.css", "PostCSS", 0, 123, 0, 0, 0, 0, 1, 19, 143
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\CartaEvento.module.css", "PostCSS", 0, 180, 0, 0, 0, 0, 0, 26, 206
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\CompraBoleta.module.css", "PostCSS", 0, 366, 0, 0, 0, 0, 3, 62, 431
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\EditarCategoria.module.css", "PostCSS", 0, 74, 0, 0, 0, 0, 0, 10, 84
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\EliminarEvento.module.css", "PostCSS", 0, 99, 0, 0, 0, 0, 0, 13, 112
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\EspecificacionDeCompra.module.css", "PostCSS", 0, 379, 0, 0, 0, 0, 10, 72, 461
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\Footer.module.css", "PostCSS", 0, 117, 0, 0, 0, 0, 0, 24, 141
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\Informacion.module.css", "PostCSS", 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\ListaCategoria.module.css", "PostCSS", 0, 122, 0, 0, 0, 0, 0, 17, 139
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\ListaEventos.module.css", "PostCSS", 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\ListaEventosAdmin.module.css", "PostCSS", 0, 113, 0, 0, 0, 0, 1, 17, 131
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\ListaReportes.module.css", "PostCSS", 0, 72, 0, 0, 0, 0, 0, 9, 81
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\Loader.module.css", "PostCSS", 0, 35, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\Login.module.css", "PostCSS", 0, 102, 0, 0, 0, 0, 0, 15, 117
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\NavBar.module.css", "PostCSS", 0, 111, 0, 0, 0, 0, 0, 20, 131
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\PanelDeControl.module.css", "PostCSS", 0, 106, 0, 0, 0, 0, 1, 21, 128
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\SignUp.module.css", "PostCSS", 0, 92, 0, 0, 0, 0, 0, 20, 112
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\Ticket.module.css", "PostCSS", 0, 64, 0, 0, 0, 0, 0, 8, 72
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\TicketsButton.module.css", "PostCSS", 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\Styles\TicketsListModal.module.css", "PostCSS", 0, 53, 0, 0, 0, 0, 0, 0, 53
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\index.css", "PostCSS", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\index.js", "JavaScript", 0, 0, 0, 44, 0, 0, 3, 6, 53
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 4, 1, 6
"c:\Users\Dairo Duran\OneDrive\Documentos\PresentacionIng\ProyectoBoletas\src\utils\securityHelpers.js", "JavaScript", 0, 0, 0, 60, 0, 0, 31, 15, 106
"Total", "-", 17917, 2361, 143, 3324, 1, 26, 126, 926, 24824
